world	regime	comparison	direction	left	right	t	truth	rank	matchedL	cold_log2	candidate_log2	left_live	right_live	left_minus_right_bits	w_before	w_after	hazard	left_odds_before	left_odds_after	left_cap_after	left_clipped	right_odds_before	right_odds_after	right_cap_after	right_clipped
221	switched	witnessed_vs_witness	help	h10l5	witness	8269	68	2	4	-0.9920252783040567	-5.011453768143892	-1.5148086836739458	-3.641906332123707	2.127097648449761	-0.9426897537638225	-4.932659188798538	2^-16	-1.0613703205997402	-5.080821474848444	5.0	0	3.105557785043101	-0.9139044027119053		0
221	switched	witnessed_vs_witness	harm	h10l5	witness	8309	98	1	1	-7.305840676034813	-1.7307649841781751	-5.062246621892775	-2.4349077259725194	-2.6273388959202553	-0.806008557741515	4.794254901544545	2^-16	-3.5227308630820278	2.052231509057985	10.0	0	0.6182980957144021	6.191741708171827		0
221	moved_mid	tight_vs_loose	help	h5l5	h16l5	16184	13	4	1	-3.992144851246911	-15.3783616246487	-6.69475196991943	-13.843600368802658	7.148848398883228	9.132322077270958	-2.5392797610455493	2^-16	2.4655057267210148	-8.920733106052836	5.0	0	10.460626755035657	-0.9256236217548196	5.0	0
221	moved_mid	tight_vs_loose	harm	h5l5	h16l5	12165	15	3	2	-5.699004861921928	-1.1723127728617564	-4.220119914918956	-1.226736256754117	-2.993383658164839	-1.9692248416827927	2.619005523679966	2^-10	-3.502941303889404	1.0194795190417765	5.0	0	4.634590214716885	8.519121953714032	16.0	0
221	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	12165	15	3	2	-5.699004861921928	-1.1723127728617564	-1.5899453507485033	-4.220119914918956	2.630174564170453	-1.9692248416827927	2.619005523679966	2^-10	1.488486353199384	5.925408746997609	10.0	0	-3.502941303889404	1.0194795190417765	5.0	0
221	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	14728	17	4	1	-3.0012737906706177	-15.490238297885039	-12.237144910888347	-7.540888649089387	-4.696256261798959	9.480445689934594	-3.3047827450902827	2^-16	9.39333450407623	-3.0956545923196717	5.0	0	4.482058705445204	-8.006927901297171	5.0	0
221	moved_mid	witnessed_vs_witness	help	h10l5	witness	13853	111	4	1	-4.692736901962731	-15.611722133741953	-8.837223625852474	-12.47175096221694	3.6345273363644655	7.7567222777311	-3.4046605252272175	2^-16	4.073752620697023	-6.8452548164877784	5.0	0	7.946144026540315	-2.972866023197803		0
221	moved_mid	witnessed_vs_witness	harm	h10l5	witness	9694	102	3	1	-4.27267294789991	-1.6009139314417165	-3.377955695573407	-1.9614317633052765	-1.4165239322681304	-4.004638037483244	-1.2077340823536993	2^-10	-2.392884074523833	0.2757570598316787	5.0	0	1.4920008754284	4.137317035052305		0
222	switched	tight_vs_loose	help	h5l5	h16l5	8228	133	3	2	-1.7353734163128571	-5.005323156940213	-1.8246846388064242	-4.290480771864461	2.4657961330580367	-2.220683078677326	-5.421236473096015	2^-10	-3.8003037299791194	-7.071673524562305	5.0	0	3.6417893703492275	0.368608114706307	5.0	0
222	switched	tight_vs_loose	harm	h5l5	h16l5	8267	145	1	2	-4.558304224210387	-1.6307888636139678	-4.176828231143	-1.7777534496321132	-2.399074781510887	-0.07186924343647451	2.8578920310173346	2^-16	-4.380732460364415	-1.4532471532600855	5.0	0	2.994211286815296	5.920370770625201	16.0	0
222	switched	witnessed_vs_fixed	help	h10l5	h5l5	8267	145	1	2	-4.558304224210387	-1.6307888636139678	-2.247389138989629	-4.176828231143	1.929439092153371	-0.07186924343647451	2.8578920310173346	2^-16	0.582400441178634	3.509643034442895	10.0	0	-4.380732460364415	-1.4532471532600855	5.0	0
222	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8268	145	1	3	-3.272950604399737	-5.663361369909688	-5.2384710274155495	-3.6249176778419967	-1.6135533495735528	2.8578920310173346	0.3781721395380922	2^-16	3.509643034442895	1.1191624349500087	10.0	0	-1.4532471532600855	-3.8436814660558376	5.0	0
